,Sentiment,TwitterID,Date,QueryType,UserID,Tweet
1381,4,2061151589,Sat Jun 06 20:16:55 PDT 2009,NO_QUERY,Heyjude1970,@Facedamuzk spill it teaser!  
1854,4,1881068007,Fri May 22 03:29:33 PDT 2009,NO_QUERY,crighopekn1ght,hello twitters 
5241,0,2249354638,Fri Jun 19 22:10:30 PDT 2009,NO_QUERY,shakeittt,Still recovering from my surgery. Ughh. Meghan cane over and watched some movies with me to cheer me up. Thanx! Oh and I feel like shit! 
9440,4,2179877228,Mon Jun 15 09:42:22 PDT 2009,NO_QUERY,primatage,#NAME?
5354,0,2052745867,Sat Jun 06 01:51:42 PDT 2009,NO_QUERY,VictoriaBugler, love hurts
4455,0,1791787769,Wed May 13 21:06:20 PDT 2009,NO_QUERY,TheForgotten187,im soo bored! man every one on goodcharlotte.com is mean!! i say a simple word to them and they all go crazy!! 
8028,0,2068040180,Sun Jun 07 13:23:43 PDT 2009,NO_QUERY,mad_vamp,@Collin_wolfboy I know... sorry  i didn't think about that...
4067,4,1932559648,Tue May 26 21:43:05 PDT 2009,NO_QUERY,clublk,Seriously WHAT THE FCUK Just a Joke Bro ! :redface:       Kolama  http://tinyurl.com/qotgen
4235,0,1834769575,Mon May 18 04:08:38 PDT 2009,NO_QUERY,lynyke,i dont want to have exams..I hate this university-periode.. :S F*ck..  Want somebody help me?Please..Thx
5266,0,1823213983,Sat May 16 21:23:24 PDT 2009,NO_QUERY,NOLAnotes,Dammit. Hearing &quot;Crunnnnnncchhh&quot; when you pull your car out of the driveway is NEVER NEVER just ok 
9212,0,2197002085,Tue Jun 16 13:12:41 PDT 2009,NO_QUERY,Sugahill,lost all those texts convos  FUUUUUU
9400,0,1792558022,Wed May 13 23:30:09 PDT 2009,NO_QUERY,stoz,is about to head home after no one came to his presentation on backing up files 
1366,4,1827412877,Sun May 17 10:39:28 PDT 2009,NO_QUERY,keanan_mh,@shadafuxupbitxh : spell check love? ... Ammonia is a substance ... pneumonia is what ur looking for! 
9745,0,2327165025,Thu Jun 25 08:00:11 PDT 2009,NO_QUERY,imsocurvy,argh. thunder. rain. was calling for cloudiness earlier this week so I hope it stops otherwise i might need to pick another date 
244,4,2064351295,Sun Jun 07 06:01:23 PDT 2009,NO_QUERY,yonathanh,"Browsing the Internetz, just registered to Twitter! "
8636,4,1678338481,Sat May 02 06:22:49 PDT 2009,NO_QUERY,ninja0310,"day 2 of the &quot;fun &amp; friendly&quot; Bohol adventure with Jam, Daph &amp; Kuya Gunns is about to end. best vacation by far.  next year uli? "
8172,4,2181104329,Mon Jun 15 11:22:20 PDT 2009,NO_QUERY,marcysia_b,what would i do without wikipedia  lol
5391,4,1794702848,Thu May 14 06:23:14 PDT 2009,NO_QUERY,amymwright,#NAME?
3349,0,1966439525,Fri May 29 17:46:10 PDT 2009,NO_QUERY,fluffodile,"Gossip Fluffodile here. The latest? Mad night with Teg, Jack, Lou, Tess and Frey. Had a gender war. But I was v. sad for a friend also "
1863,4,2178344484,Mon Jun 15 07:33:49 PDT 2009,NO_QUERY,nicocco,#NAME?
7457,4,2065120995,Sun Jun 07 07:56:22 PDT 2009,NO_QUERY,AmadorAndrea,gotta love happy endings  can't remember the last time I actually enjoy watching TV &lt;3
1094,0,1956930590,Thu May 28 23:03:31 PDT 2009,NO_QUERY,Jennuin,I hate nightmares!!!! 
2944,0,2063219532,Sun Jun 07 01:48:31 PDT 2009,NO_QUERY,carlyfrank,#NAME?
5375,4,1999511944,Mon Jun 01 20:20:48 PDT 2009,NO_QUERY,dawn_spitfire,"@DawnWehbey like the &quot;tap &amp; bitch!&quot; for real. It is hilarious, yet would work...for me! good post.  ~ for real this time, goodnight ???"
4602,0,1835574999,Mon May 18 06:17:55 PDT 2009,NO_QUERY,BestDamn,"@Got_A_Minute I wish I could go.  Unfortunately, I'm probably going to miss the next few games due to prior engagements.  "
1984,0,1558644814,Sun Apr 19 08:59:45 PDT 2009,NO_QUERY,marynash9,thinks she may be addicted to Twilight... very concerning 
7337,4,1559841578,Sun Apr 19 12:11:07 PDT 2009,NO_QUERY,heduav,@ddlovato http://twitpic.com/3lwfk - Have fun in spain!!! We love u! Next time come to Barcelona u would love it! I see u june 13 
4062,4,2062735490,Sun Jun 07 00:07:52 PDT 2009,NO_QUERY,chenielle,Just finished watching ASAP'09 live on Abs-Cbn Studio 10! So starstrucked! JAKE CUENCA!! JAAAAKE! 
2891,4,1984849435,Sun May 31 15:55:57 PDT 2009,NO_QUERY,theeprincessnay,#NAME?
8103,0,2234454349,Thu Jun 18 23:05:10 PDT 2009,NO_QUERY,xNicoleAlinex,#NAME?
5975,4,1982923740,Sun May 31 12:09:59 PDT 2009,NO_QUERY,forever_pink,"@HombreDePajaro- oh, p.s. 8 DAYS.  thats one week from tomorrow!  did you sign us up today??! "
7842,4,2052659890,Sat Jun 06 01:31:45 PDT 2009,NO_QUERY,monella_,(drinking a very refreshing ESTATHE. yeah is official.. i love it! 
8195,0,1992407334,Mon Jun 01 08:42:11 PDT 2009,NO_QUERY,Silverlush,Im waiting for husband to come home so i can go shopping. I hope he dosent rush - im not looking forward to fighting my way round tesco 
2959,0,2229402541,Thu Jun 18 15:40:53 PDT 2009,NO_QUERY,Sugarplm,@Smash_Spaz I agree I'm sorry love!! 
7924,4,2190599281,Tue Jun 16 03:11:26 PDT 2009,NO_QUERY,bojkowski,#NAME?
2336,0,1792634640,Wed May 13 23:44:37 PDT 2009,NO_QUERY,Tegan_Ellis,"kye drop it. she likes him he likes her. just let em be. pleeease. im sick of all this fuckin shit, wtf is going on "
6706,0,2175832304,Mon Jun 15 02:07:36 PDT 2009,NO_QUERY,mayveeslove,2more weeks! oh damn it. =.='' I need chiong art soon. Dear god. 
5962,4,1557747751,Sun Apr 19 05:48:59 PDT 2009,NO_QUERY,Tracemace2000,@JusticeJohnson I HATE your twitter picture it took me ages to realise its the one with me in the background! 
2776,4,1980318906,Sun May 31 06:23:26 PDT 2009,NO_QUERY,lucypepper,#NAME?
3400,0,1984711813,Sun May 31 15:39:15 PDT 2009,NO_QUERY,dennisstempher,"@kirstiecat I (at least when I still had it  shoot at sRaw1, smaller file size and less noise than full res"
8460,0,2063128619,Sun Jun 07 01:28:24 PDT 2009,NO_QUERY,Quriouszee,Impromptu trip into JB this weekend. Better enjoy my laptop before it gets taken tmr 
7875,4,2013098991,Tue Jun 02 21:55:06 PDT 2009,NO_QUERY,tanitan,#NAME?
4259,0,2175713708,Mon Jun 15 01:46:48 PDT 2009,NO_QUERY,baloteesha,is missing her crazy officemate. 
8395,0,2049743670,Fri Jun 05 17:25:19 PDT 2009,NO_QUERY,kathongoh,IM UP SO EARLY.  I wanna go back to sleeeeeeep.
1079,4,1792071145,Wed May 13 22:01:28 PDT 2009,NO_QUERY,KendallCaroline,all smiles.  I love my small group and I'm so glad I'm finally able to go! 
9047,0,1977578091,Sat May 30 21:15:21 PDT 2009,NO_QUERY,Tamika757,@MZKIA716  I want it myself!! Tell me to not be sad!
6747,0,2233025119,Thu Jun 18 20:43:40 PDT 2009,NO_QUERY,samanthafresno,@gley10 OMG OMG OMG OMG OMG OMG!!!!! GUESS WHO MIGHT BE GOING TO GEORGA TO SEE YOU!?!?  BTW-MY CELL IS DEAD.  ILL TEXT YOU SOON! &lt;3
692,4,2003245336,Tue Jun 02 06:10:11 PDT 2009,NO_QUERY,mogged,Patch Day!   http://tinyurl.com/oq8sxe
4815,0,2197821749,Tue Jun 16 15:13:49 PDT 2009,NO_QUERY,Lieslvz,Misses Mr.Pepper 
2239,0,1759923342,Sun May 10 20:15:33 PDT 2009,NO_QUERY,sambrightsmile,"Listening to etta James and billie holiday. Going to bed soon, I hope I can slep tonight "
8804,0,2054051043,Sat Jun 06 06:25:50 PDT 2009,NO_QUERY,reannatugiri,#NAME?
4749,0,2069623023,Sun Jun 07 16:13:04 PDT 2009,NO_QUERY,BeckaAlicexx,has a sore arm &amp; can't sleep 
2199,4,2185578484,Mon Jun 15 17:35:32 PDT 2009,NO_QUERY,erinluvbear,I'm trying out tis twitter now 
6323,0,2014291569,Wed Jun 03 01:02:57 PDT 2009,NO_QUERY,Rosalyne,@Alex_Meraz85 I can't wait to see you in the movie!! Too bad its a whole SIX months away  x
6887,4,2184066877,Mon Jun 15 15:22:25 PDT 2009,NO_QUERY,fatamorganah,@orbanbalage thank u my 2nd favourite geek 
6668,0,1552029122,Sat Apr 18 10:36:05 PDT 2009,NO_QUERY,ilanna_wat,"today is such a sad day! ok, idk why, but i feel so sad! i have NOTHING to do...  MISS U NATIE!"
8409,4,2065713261,Sun Jun 07 09:08:44 PDT 2009,NO_QUERY,MamaAnna,#NAME?
8112,0,2062001110,Sat Jun 06 22:05:52 PDT 2009,NO_QUERY,kuttyedathi,"@startonomics: @vishnupsp oooh, dowry is another topic we cud debate 4 days, and end up confused. i failed miserably in all my attempts. "
7950,4,1880143533,Fri May 22 00:14:15 PDT 2009,NO_QUERY,AKACharlieBravo,Once today is finished I'm off for the weekend ! Woo Hoo 
7057,0,1979793774,Sun May 31 04:31:45 PDT 2009,NO_QUERY,theovalich,"@danwegner since the link doesn't work on a blackberry - due to twit-o-matic script, it is worthless to TwitBerry crowd.No brownie points "
8199,4,1992168389,Mon Jun 01 08:19:00 PDT 2009,NO_QUERY,AnnaRuthJaeger,Im hereby challenging myself to twitter my most inner thoughts and private feelings. Why should i hide them? 
7630,0,2252618193,Sat Jun 20 06:39:12 PDT 2009,NO_QUERY,ericaxxx,i hate cockroach 
4995,4,1825414693,Sun May 17 05:36:55 PDT 2009,NO_QUERY,ashalynd,"@softqual well, they have reported the correlation; to answer &quot;why&quot; requires another grant and now they can ask for it "
1283,0,1932865024,Tue May 26 22:24:09 PDT 2009,NO_QUERY,imanika,@wesleyadamquinn i missed the may 13th show for chitown :/ couldn't find good tickets 
4902,0,2015407676,Wed Jun 03 04:34:59 PDT 2009,NO_QUERY,JustinRyan,@Urioxis Amarok uses SQL - I'm just having to go through and do the initial tagging for tracks that didn't have any. 
4804,0,1991272115,Mon Jun 01 06:43:57 PDT 2009,NO_QUERY,iamlogiq,#NAME?
2871,4,1824639318,Sun May 17 02:15:56 PDT 2009,NO_QUERY,tsch,#NAME?
6051,4,1976319881,Sat May 30 17:04:12 PDT 2009,NO_QUERY,Epicpromotions,"www.epicspecialties.com Did some painting this morning, just not near my laptop or I'd tweet my masterpieces to you tweeters. "
8447,0,2286551335,Mon Jun 22 16:36:01 PDT 2009,NO_QUERY,gerilee,found it. *happy dance* I would post it but I want to show you pictures too and I have to get them from my friend 
5870,0,1693147593,Sun May 03 21:41:43 PDT 2009,NO_QUERY,hellomylove,I ran over something tonight. I think it was a kitty. I'm not sure  I heard a cluh-clunk. We drove back 3 times and found nothing.
5519,4,2059680917,Sat Jun 06 17:25:15 PDT 2009,NO_QUERY,spartygrl13,"i shall be twittering during my vaca, stay tuned my kiddos "
4737,0,1753040967,Sat May 09 23:54:23 PDT 2009,NO_QUERY,KeshLondon,@bmurrayofteez awww I wish I was in Houston all my homies r there  I'm stuck here for mothers day lol
8943,4,1753384398,Sun May 10 01:22:30 PDT 2009,NO_QUERY,llamalaura,"so now that I have a whole 20 followers, 5 of them actual people, I don't know what to write in here anymore "
1588,4,1551520640,Sat Apr 18 09:16:28 PDT 2009,NO_QUERY,BorrowLenses,#NAME?
6678,4,1990574719,Mon Jun 01 05:13:33 PDT 2009,NO_QUERY,emjhoistarr,#NAME?
3886,4,1833950325,Mon May 18 01:03:20 PDT 2009,NO_QUERY,mwsealey,#NAME?
3134,0,2243540548,Fri Jun 19 13:34:49 PDT 2009,NO_QUERY,LiquidSpirit,#NAME?
3489,4,1960523961,Fri May 29 08:05:50 PDT 2009,NO_QUERY,sunshine_dreamz,well .. i need to leave right now i gotta go to the dentist  &amp; really miss my bed  i can???t wait 4 the SatuRday!!!! need 2 see ya!!!
2808,0,2050262843,Fri Jun 05 18:21:28 PDT 2009,NO_QUERY,bagusbali,has the same problem...again..and again 
5666,4,2072390314,Sun Jun 07 20:56:08 PDT 2009,NO_QUERY,tallivansunder,As you can tell we are super excited about doing a health video podcast! We have been working on it for a while. 
2029,0,1824761353,Sun May 17 02:48:56 PDT 2009,NO_QUERY,joelyuk,First drop. Soaked to the bone already  http://bit.ly/11qQIi
533,4,2192512101,Tue Jun 16 07:08:50 PDT 2009,NO_QUERY,Jessi_lopez,@jonasbrothers Your Album is AWESOME!! DDD World War III is AWESOME!! Props to Nick 
9612,0,1988757860,Sun May 31 23:17:13 PDT 2009,NO_QUERY,SammiiSTACK,soacked! i don't think the rain like me much 
7883,0,2007079604,Tue Jun 02 12:06:57 PDT 2009,NO_QUERY,stephanie_efc,Eating the middle bits of out pork pies. 
5542,4,2069102922,Sun Jun 07 15:16:01 PDT 2009,NO_QUERY,trickster_brat,Just saw a #Utada ad for This Is The One on TwitPic! Very cool. 
3415,0,2246267059,Fri Jun 19 17:20:25 PDT 2009,NO_QUERY,kaylakib,I miss you &lt;/3 
7208,0,1978932225,Sun May 31 00:59:14 PDT 2009,NO_QUERY,BenjaminStrick,@Nana_Mex Maybe i could do a &quot;Twitter takes over Carnarvon&quot; article. But we are the only two that use it so it's not really widespread 
1419,0,1686175504,Sun May 03 04:09:39 PDT 2009,NO_QUERY,rubymaree,#NAME?
2156,0,2003622505,Tue Jun 02 06:51:55 PDT 2009,NO_QUERY,DanWalmsely,Not getting a placement for his birthday 
695,0,2196025759,Tue Jun 16 11:55:38 PDT 2009,NO_QUERY,hiphopdancer94,trying to revise 
2749,4,1977656277,Sat May 30 21:25:09 PDT 2009,NO_QUERY,GreenQueen23,Is veryveryvery happy! 
7094,4,2049820771,Fri Jun 05 17:33:32 PDT 2009,NO_QUERY,imadedinner,@KathEats feel better! I'm diggin' the new hair 
2545,4,2176767455,Mon Jun 15 04:42:22 PDT 2009,NO_QUERY,allysheehan,#NAME?
24,0,1686550851,Sun May 03 05:53:57 PDT 2009,NO_QUERY,emmalleeee, enough said.
6354,0,1694216009,Mon May 04 01:36:17 PDT 2009,NO_QUERY,j_ellopez,Still awake working on my paper. 
4543,4,2192004449,Tue Jun 16 06:20:50 PDT 2009,NO_QUERY,tylersorrells,Whats up buttercup?!? 
4144,0,1825965162,Sun May 17 07:20:54 PDT 2009,NO_QUERY,annwagner,Sunday morning coffee and newspaper.  Getting Mike ready to leave for Chicago tomorrow 
8675,0,2187275374,Mon Jun 15 20:02:47 PDT 2009,NO_QUERY,superwoman411,Once I lay down the mind starts racing...wtf!!! Missing my tio right now can't wait for him to come home soon 
829,0,2328960827,Thu Jun 25 10:11:16 PDT 2009,NO_QUERY,DamDevil,stupid stupid stupid library... dosent have the book i want  how lame is that?
3467,4,1998975839,Mon Jun 01 19:26:08 PDT 2009,NO_QUERY,HOTTVampChick,@JordanKlicious I'm goin reg this time. I been to 6 concerts and 2 vips. One of them d gave to me  he so sweet. But I loOoove jordan 
2563,0,2301014766,Tue Jun 23 14:53:19 PDT 2009,NO_QUERY,smyleefaces,Gonna go drop off the animals at the vet  SHOTS! AAH!
9972,4,2070090188,Sun Jun 07 17:04:41 PDT 2009,NO_QUERY,BurninUp4UBabyy,The Fly With Me video was ammmaaaazzziinnggg!!!!  can't wait for their tour 
8181,0,2326611992,Thu Jun 25 07:16:32 PDT 2009,NO_QUERY,ecko_pedal,Just got out of work. At school now. Going back to work afterwards. 
463,0,1996945215,Mon Jun 01 15:58:37 PDT 2009,NO_QUERY,cellytwits,#NAME?
8084,0,1557478562,Sun Apr 19 04:21:37 PDT 2009,NO_QUERY,addy_dren,is up way too early for a Sunday morning 
7691,0,1983304083,Sun May 31 12:54:01 PDT 2009,NO_QUERY,muddyshoe,"I never thought I'd say this, but I think it's time to run on pavement for awhile...  "
3177,4,1770809625,Mon May 11 22:18:29 PDT 2009,NO_QUERY,RenRevenge,#NAME?
5496,4,1991625453,Mon Jun 01 07:22:38 PDT 2009,NO_QUERY,andrreeezzy,Good morning  It's June 1st.
5414,4,2048636717,Fri Jun 05 15:31:30 PDT 2009,NO_QUERY,Packard_Sonic,@tap29 Thanks for the #FollowFriday 
3090,4,2052152173,Fri Jun 05 23:49:14 PDT 2009,NO_QUERY,pnatbutter,sitting and enjoying my early &amp; short vacation. 
4912,0,2014895048,Wed Jun 03 03:02:23 PDT 2009,NO_QUERY,jeniline,AHHHHH music prac tommorow and mum made me sick! 
6145,4,2051787715,Fri Jun 05 22:48:42 PDT 2009,NO_QUERY,KeniaC,@PaSsioNsHeaT &quot;Beautiful Ones&quot; that's my favorite song 
3305,4,2052025864,Fri Jun 05 23:26:42 PDT 2009,NO_QUERY,AmyKath,Out. Good night for everyone 
4648,4,2174473996,Sun Jun 14 22:37:43 PDT 2009,NO_QUERY,youngnaiya,......... now. 
231,0,1572953008,Mon Apr 20 23:09:04 PDT 2009,NO_QUERY,TashRena,#NAME?
184,4,1978776508,Sun May 31 00:25:49 PDT 2009,NO_QUERY,kaylaSTACK,#NAME?
3111,4,1956717335,Thu May 28 22:30:52 PDT 2009,NO_QUERY,ArleneLaQueen,"http://twitpic.com/661if - It was my girl Melinda's bday,the one in all black,her 31st "
7611,4,1759576770,Sun May 10 19:31:15 PDT 2009,NO_QUERY,Nino_22,#NAME?
905,4,1833928316,Mon May 18 00:58:37 PDT 2009,NO_QUERY,Shindank,#NAME?
6735,0,1692017379,Sun May 03 19:06:02 PDT 2009,NO_QUERY,xamaranowax,i practically broke both thumbs at my cousins party 
7073,4,1969755183,Sat May 30 01:06:23 PDT 2009,NO_QUERY,demilliken,"have passed Ellen, am tied for a spot with Delta now.. slowly crawling up there  http://bit.ly/be9nb"
5265,4,1833434582,Sun May 17 23:16:27 PDT 2009,NO_QUERY,SuperSocialite,"Wow! Fun night on Twitter. Thank you for being a part of the #Twitteratti Thank you to the 339 current followers, 400 when I get back? "
7907,0,2282962313,Mon Jun 22 12:01:45 PDT 2009,NO_QUERY,tylernward,"I do not get FOX on my DTV converter box, the signal is too weak. I guess this means no HOUSE tonight. "
1880,0,2256729951,Sat Jun 20 13:13:02 PDT 2009,NO_QUERY,AsafLin,@openhebrew Are u sure backgrounder works on 3.0 (it's crash es...) and your new release do nothing to phone or ipod apps no heb letters 
5541,0,2048859586,Fri Jun 05 15:53:42 PDT 2009,NO_QUERY,ACRead,"It's not a huge quantity, but it has saddened me. This is like the second order I had to ever cancel.  It's rare but a definite downer."
6930,0,2188119485,Mon Jun 15 21:20:07 PDT 2009,NO_QUERY,andycrash,@MamaBee4 I shall be retiring also.  To the couch.  Baby's in bed with mommy tonight with a fever (the baby) 
1027,4,1989675137,Mon Jun 01 02:24:12 PDT 2009,NO_QUERY,boongat,tea-centre...joy-oh-joy  i think i'll always be...a chai-person?
6307,0,1881239732,Fri May 22 04:03:34 PDT 2009,NO_QUERY,vaniavanessa,Video: katty perry-thinking of you  hah sedihnyaaaaaaaa http://tumblr.com/xdd1ubwy8
9046,4,2059083190,Sat Jun 06 16:12:46 PDT 2009,NO_QUERY,loreenam,"@tommcfly OOOOOWN! lovely! that's why we all love you so much, tom!  own"
4470,4,1978471160,Sat May 30 23:27:37 PDT 2009,NO_QUERY,OhHaiSara,Saw Dance Flick with Deanna. 
3833,4,2177600025,Mon Jun 15 06:23:14 PDT 2009,NO_QUERY,nanananat,#NAME?
1430,0,2256728834,Sat Jun 20 13:12:55 PDT 2009,NO_QUERY,bethdonald,@CHactingNYC biography about her at the moment' Hahaha...it's sad that I know that 
9274,4,2015542891,Wed Jun 03 04:56:17 PDT 2009,NO_QUERY,MissMeggyDee,*sigh* Okay..twitter's VERY distracting...will be back later..or maybe tomorrow... mahn..i hope there's a typhoon. 
248,4,1825285154,Sun May 17 05:07:01 PDT 2009,NO_QUERY,PfcAssenti,"WOOT. I ran the best PFT I've ever done yesterday...and I haven't workout in a month! 100 crunches, 20 pull-ups, and a 21:26 3 mile time. "
1097,0,2002192024,Tue Jun 02 03:27:07 PDT 2009,NO_QUERY,jlvaughn,"Goodmorning! need coffee to brew a little faster, but Dane is entertaining me while I wait, he looks bigger every morning "
1350,0,2259303166,Sat Jun 20 17:21:10 PDT 2009,NO_QUERY,ELLEohhELLExxx,nic anderson!  Hs just left 
4860,0,2045415593,Fri Jun 05 10:41:35 PDT 2009,NO_QUERY,Markizchozen,#NAME?
9852,4,2186151394,Mon Jun 15 18:25:46 PDT 2009,NO_QUERY,Dannymassacur,@CoriiChaotic It's probably &quot;The Dope Show&quot;. 
4579,0,2194161172,Tue Jun 16 09:25:32 PDT 2009,NO_QUERY,imbemenelien,Internet is down  looking for some people to make me  a 2 hour playlist so i can get new music. Anyone up for the challenge?
1947,0,2259742509,Sat Jun 20 18:05:17 PDT 2009,NO_QUERY,lizzy_pringle,"I'm tired, but can't get to sleep! "
4573,4,1984616638,Sun May 31 15:27:43 PDT 2009,NO_QUERY,kartar,@nigelkersten Tie them to something mechanical with fiddly things and they'll be right.  Little fingers and all that. 
8163,0,1559676562,Sun Apr 19 11:45:52 PDT 2009,NO_QUERY,alexlosoya,its so gloomy here 
2560,0,1983374051,Sun May 31 13:02:05 PDT 2009,NO_QUERY,Celtic_Flowerz,"Organizing my computer, my dad left already "
4588,0,2253756164,Sat Jun 20 08:41:30 PDT 2009,NO_QUERY,itsgood2bdia,Can someone pllllllllllllllllllllllllllz come and wash my car today?!? She is sad 
7539,4,1835244611,Mon May 18 05:31:14 PDT 2009,NO_QUERY,CaliiChristian,On Yahoo! Answers now answering people's questions about the Lord. 
703,4,1997251464,Mon Jun 01 16:31:14 PDT 2009,NO_QUERY,sweetmariep,glad the day is at an end...relax relate release time 
7876,4,1824201168,Sun May 17 00:25:08 PDT 2009,NO_QUERY,ann_9787,watching Next Friday and eating my favorite kind of ice cream mint chocolate chip 
6229,4,2033596511,Thu Jun 04 12:55:53 PDT 2009,NO_QUERY,311fanalways,Taking a break doing some yard work      :-} ThReE11FaN :-}
892,4,1979285691,Sun May 31 02:23:46 PDT 2009,NO_QUERY,MandyBookLover,"@LesleyCookman noooo, it's Sunday, no rush to get dressed! Really enjoyed Murder in Steeple Martin, going to order next few for my hols "
9249,0,2017609034,Wed Jun 03 08:40:05 PDT 2009,NO_QUERY,Starrgirrl_ox,"on way home from hsptl, doctors gave me tablets that i need to take for 2 months! "
2990,0,2251265569,Sat Jun 20 02:57:35 PDT 2009,NO_QUERY,negativefix,Duhhh it's already 13:00pm. It seems I won't be going to buy my RayBan eyeglassframes since I cannot reach my aunt by phone. 
8462,4,1883037523,Fri May 22 07:54:20 PDT 2009,NO_QUERY,cloudwalking,"Photo: fvp: thank you both for coming to visit me in that very hot, very crowded store! it was awesome!  i... http://tumblr.com/xz51uddzj"
8184,4,1882304060,Fri May 22 06:37:35 PDT 2009,NO_QUERY,RPattzWho,"@katarinasmama Yeah, I'd probably have to kiss a piece of paper after and then save that paper  Or just stare at the pics!"
1132,0,1957745188,Fri May 29 01:28:33 PDT 2009,NO_QUERY,b4sh18,"Revision Time, Biology exam monday "
8311,4,2016284129,Wed Jun 03 06:30:27 PDT 2009,NO_QUERY,CrystalCheer22,Check out @johncmayer 's new Battle Studies video. Beautiful images! Gave me a boost!!!  http://bit.ly/10Jm5l
732,0,2182318045,Mon Jun 15 13:00:41 PDT 2009,NO_QUERY,garrets14,For Jackie when this ships via LoudTwitter: Charlie Coleman had to put down Tommy Tom Thomas... 
6217,4,2039698269,Thu Jun 04 22:34:59 PDT 2009,NO_QUERY,sssamano,had a yummy hommus and triscut midnight snack  and i think hershal did a great job on the sigrho website 
9127,0,2232646892,Thu Jun 18 20:11:48 PDT 2009,NO_QUERY,RobertJP,I miss my @psiam 
9325,0,2253324974,Sat Jun 20 07:58:55 PDT 2009,NO_QUERY,francegem,"somethings been stuck in my chimney since 5am, and its not Santa "
3231,0,2190887307,Tue Jun 16 03:59:58 PDT 2009,NO_QUERY,airwaves,I'm at work before 8. Used my key for the first time. 
331,0,1680734131,Sat May 02 12:22:15 PDT 2009,NO_QUERY,hackmancoltaire,"Wow, it's amazing how desolate the Metreon is. 95% of the businesses are gone. "
